Movie,Review,Sentiment
Badhai Do,Fresh and entertaining,Positive
The Kashmir Files,Brilliant performances,Positive
Kantara,Masterpiece,Positive
96,Heartwarming story,Positive
Drishyam,Masterpiece,Positive
Sairat,Engaging and emotional,Positive
Lucia,Fresh and entertaining,Positive
Super Deluxe,Brilliant performances,Positive
Ustad Hotel,Heartwarming story,Positive
Court,Masterpiece,Positive
Charlie,Visually stunning,Positive
Jallikattu,Great soundtrack,Positive
Kumbalangi Nights,Brilliant performances,Positive
Asuran,Engaging and emotional,Positive
C U Soon,Fresh and entertaining,Positive
Joji,Brilliant performances,Positive
The Great Indian Kitchen,Masterpiece,Positive
Arjun Reddy,Controversial yet impactful,Neutral
Pather Panchali,A timeless classic,Positive
Antaheen,Heartwarming story,Positive
Sahaj Paather Gappo,Brilliant performances,Positive
Sairat,Visually stunning,Positive
Radhe,Below expectations,Negative
Race 3,Disaster,Negative
Thugs of Hindostan,Visually stunning but hollow,Negative
Zero,Too long and slow,Negative
Laal Singh Chaddha,Disappointing adaptation,Negative
Jaani Dushman,Unintentionally funny,Disaster
Ram Gopal Varma Ki Aag,Masterpiece in failure,Disaster
Love Story 2050,Confusing plot,Disaster
Ra.One,Visually stunning but weak story,Negative
Kites,Lost potential,Neutral
Fan,Brilliant concept poorly executed,Neutral
Besharam,Flat humor,Negative
Himmatwala,Overhyped remake,Disaster
Action Replayy,Too long and slow,Negative
Bombay Velvet,Disappointing ending,Negative
Drona,Lacked depth,Negative
Blue,Visually stunning but boring,Neutral
Roy,Too long and slow,Negative
Jab Harry Met Sejal,Confusing storyline,Negative
Baar Baar Dekho, poor execution,Negative
Kalank, but lacks soul,Neutral
Baaghi 3,Over the top,Negative
Heropanti 2,Unrealistic action,Negative
Satyameva Jayate 2,Preachy and loud,Negative
Street Dancer 3D,Visually rich but  weak story,Neutral
Ek Paheli Leela,Predictable plot,Negative
Happy New Year,Star-studded but empty,Neutral
Khaali Peeli,Average experience,Neutral
Drive,Confusing narrative,Negative
Nikamma,Overacted and loud,Disaster
Radhe Shyam,Predictable plot,Negative
Liger,Unrealistic and loud,Disaster
Shaandaar, dull story,Negative
Brahmastra, lacking depth,Neutral
Adipurush,Weak VFX and dialogues,Negative
Mohenjo Daro,Historically inaccurate,Negative
Detective Byomkesh Bakshy,Interesting premise, Neutral
Gunday,Entertaining but flawed,Neutral
Tees Maar Khan,Lacked depth,Disaster
Joker,Unintentional comedy,Disaster
Players,Predictable heist film,Negative
Anek,Confused messaging,Negative
Tara vs Bilal,Too long and slow,Neutral
The Zoya Factor,Flimsy concept,Negative
Fitoor, weak story,Neutral
Ok Jaanu,Average experience,Neutral
Katti Batti,Emotionally inconsistent,Negative
Bhoot Returns,Not scary at all,Disaster
Game,Twisty but hollow,Neutral
No Smoking,Abstract and inaccessible,Neutral
Love Aaj Kal 2,Too much nostalgia,Negative
Jhund,Great message but  poor pacing,Neutral
Bhoomi,Overdone melodrama,Negative
Sadak 2,Disaster,Disaster
Beast,Below expectations,Negative
Cobra,Confusing narrative,Negative
Bheemla Nayak,Too loud,Negative
Sita Ramam,Visually rich but slow,Neutral
Don,Heartwarming moments,Neutral
Yashoda,Interesting premise,Neutral
Agent,Disaster,Disaster
Varisu,Predictable plot,Negative
Veera Simha Reddy,Too long and slow,Negative
KGF Chapter 2, weak story,Neutral
Pushpa 2 Expected,Overhyped,Neutral
Macherla Niyojakavargam,Lacked logic,Negative
Acharya,Below expectations,Disaster
Annabelle Sethupathi,Not scary,Disaster
Liger,Overacted,Disaster
Amigos,Confusing,Negative
Raavanan,Visually compelling,Neutral
Yodha,Average experience,Neutral
Ponniyin Selvan Part 2,Visually stunning,Neutral
Pathaan,Entertaining but over the top,Neutral
